# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 1.005829e+00 Msun, alpha = 1, structure = BellLin, mu = 0.62
1.414991297434578896e+09 4.763536087817661610e+03 5.345592826814364571e+02 1.398102092011871488e+18 1.078291688465478655e+05 5.923736112011082608e+35 7.486180045897708468e-02 4.341034672386472350e-06 5.014666584429136128e+05 2.919293854906530380e+08 1.109913010358363181e+03 5.462861737511334193e-01 3.996616009762853583e+00 5.084263554666584639e+00 5.812441414436707587e-01 1.180489175428123927e+00 4.281898364804384016e-01 
1.464971398307287931e+09 4.931792963044786120e+03 5.262816660541774354e+02 1.398102092011871488e+18 1.050697753431531455e+05 6.030116555435050793e+35 7.486680621579913653e-02 4.132977044153011650e-06 4.884552205315459869e+05 2.707261731142405868e+08 1.108934029476588648e+03 5.302718204424857751e-01 4.057854274027046237e+00 5.095060612972519110e+00 5.805061160181149704e-01 1.179686273561590504e+00 4.286453886343054576e-01 
1.516716888470924139e+09 5.105992981252100435e+03 5.180471528864853781e+02 1.398102092011871488e+18 1.023807959656125895e+05 6.138359471761671456e+35 7.487593401406636429e-02 3.933892215918614819e-06 4.757540680581225897e+05 2.509848242082220912e+08 1.107696719806345754e+03 5.147689578600285198e-01 4.119700945837660555e+00 5.105570762709424670e+00 5.797891228184346435e-01 1.178900873949291883e+00 4.290918081582772992e-01 
1.570290124729377508e+09 5.286346065204634215e+03 5.098592449983244137e+02 1.398102092011871488e+18 9.976044253772433149e+04 6.248497468537984420e+35 7.488910194104790585e-02 3.743463505710863395e-06 4.633570294961571344e+05 2.326118606468095779e+08 1.106206331254145653e+03 4.997593627046579279e-01 4.182160233144903927e+00 5.115796160898139711e+00 5.790928157836474632e-01 1.178132674858447304e+00 4.295291940376957940e-01 
1.625755666443793535e+09 5.473069552526430016e+03 5.017212852258201679e+02 1.398102092011871488e+18 9.720697191685246071e+04 6.360563724192958829e+35 7.490623089752952712e-02 3.561380532514607676e-06 4.512580045123182936e+05 2.155191147733054757e+08 1.104468252332885640e+03 4.852255378855234724e-01 4.245236528911963347e+00 5.125739262006621999e+00 5.784168402653955265e-01 1.177381375235367456e+00 4.299576489049318218e-01 
1.683180353330955029e+09 5.666388457607024975e+03 4.936364584323313807e+02 1.398102092011871488e+18 9.471868487647271832e+04 6.474591998032303588e+35 7.492724431255802509e-02 3.387339445413347414e-06 4.394509651311222115e+05 1.996234870680033565e+08 1.102487996533186788e+03 4.711506809197665291e-01 4.308934411149200727e+00 5.135402774782930280e+00 5.777608354463543705e-01 1.176646674837918072e+00 4.303772785944418033e-01 
1.742633386009647131e+09 5.866535742758965171e+03 4.856077924752301556e+02 1.398102092011871488e+18 9.229392501569545129e+04 6.590616640408254041e+35 7.495206477745104678e-02 3.221043121871772015e-06 4.279299568819601554e+05 1.848467097283494473e+08 1.100271186744516399e+03 4.575186538016400295e-01 4.373258642787400952e+00 5.144789195100250900e+00 5.771244598487256239e-01 1.175928273648292333e+00 4.307881912003225788e-01 
1.804186409392075539e+09 6.073752598953120469e+03 4.776381604370513401e+02 1.398102092011871488e+18 8.993107769514984102e+04 6.708672603067441286e+35 7.498061770012839911e-02 3.062201334468208956e-06 4.166890997694351245e+05 1.711151163110021055e+08 1.097823542091183299e+03 4.443139540534595255e-01 4.438214172669996849e+00 5.153901302011839825e+00 5.765073639195571475e-01 1.175225873148247890e+00 4.311904975294730269e-01 
1.867913599020784616e+09 6.288288736469959076e+03 4.697302825036219929e+02 1.398102092011871488e+18 8.762856899862657883e+04 6.828795449679831051e+35 7.501283078875237154e-02 2.910530889043068289e-06 4.057225892353644595e+05 1.583594179056740701e+08 1.095150865190857985e+03 4.315216872421935856e-01 4.503806135621618800e+00 5.162742083148597061e+00 5.759091940925481490e-01 1.174539176447235711e+00 4.315843107390812672e-01 
1.933891750455232143e+09 6.510402685817425663e+03 4.618867277480749749e+02 1.398102092011871488e+18 8.538486471988289850e+04 6.951021366552168377e+35 7.504863098261357890e-02 2.765755735491300178e-06 3.950246970807825564e+05 1.465144860413078666e+08 1.092259029377890556e+03 4.191275408303565819e-01 4.570039851838221701e+00 5.171314307049331482e+00 5.753296158956879847e-01 1.173867887702265467e+00 4.319697454651352797e-01 
