# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 1, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
1.100927683680957081e+01 9.549992150912858051e+03 1.500077348267892000e+16 2.418296474116792619e+34 2.287699728231884846e-02 3.559529163440549472e-08 2.925549469691163540e+04 1.396505007423919160e+05 2.108749963774905609e+02 1.322869665842765080e-02 3.681247195156824148e+01 3.514846254638699818e+00 6.759852516382380827e-01 1.137068271885575355e+00 4.314270027179337719e-01 
1.087064121762285929e+01 9.506120521320448461e+03 1.472701940110310800e+16 2.374164181137748415e+34 2.266870625476154547e-02 3.529405193769732697e-08 2.908514471975560446e+04 1.376623709432065953e+05 2.097026271198269853e+02 1.310990188771098651e-02 3.703566030408744325e+01 3.471753643597144556e+00 6.793552113915686252e-01 1.136827489691980997e+00 4.307000069632705430e-01 
1.073365649535239363e+01 9.462450433242707732e+03 1.445826114839350000e+16 2.330837272984118472e+34 2.245962274563770983e-02 3.499661813362586930e-08 2.891619296108427807e+04 1.357093244044119201e+05 2.085611500239073166e+02 1.299225507960165803e-02 3.726024313123929232e+01 3.428316387046886682e+00 6.827931588332968316e-01 1.136593953380438560e+00 4.299467466124661241e-01 
1.059830565302253547e+01 9.418980960819737447e+03 1.419440755401510000e+16 2.288301051921578048e+34 2.224976617974947640e-02 3.470301119958613182e-08 2.874864064903024337e+04 1.337910217111873790e+05 2.074530000919872066e+02 1.287573581816122727e-02 3.748626337403567277e+01 3.384547709885735056e+00 6.862997376462407484e-01 1.136368340718591163e+00 4.291669677780445835e-01 
1.046457864928397008e+01 9.375711182444940277e+03 1.393536911123419400e+16 2.246541088439621610e+34 2.203911680730546996e-02 3.441326631798838149e-08 2.858249325469476389e+04 1.319071996993679786e+05 2.063827086436744480e+02 1.276032419291544054e-02 3.771376756444127665e+01 3.340448679793206033e+00 6.898770039905830487e-01 1.136152250370467742e+00 4.283604697966136299e-01 
1.033245997904333358e+01 9.332640180745505859e+03 1.368105794675524200e+16 2.205543216356684710e+34 2.182769240912250247e-02 3.412740800232733832e-08 2.841775399144821858e+04 1.300575445743464370e+05 2.053546173414515010e+02 1.264600126980289750e-02 3.794280026641345671e+01 3.296032363507302776e+00 6.935257750350850570e-01 1.135946626653067115e+00 4.275269282772381496e-01 
1.020194305767762799e+01 9.289767042562896677e+03 1.343138779091133800e+16 2.165293528014501977e+34 2.161546289955582761e-02 3.384548289652783963e-08 2.825442834081785259e+04 1.282418384213181125e+05 2.043767421343976309e+02 1.253274301209214570e-02 3.817342523967744228e+01 3.251297419310101411e+00 6.972485891897769461e-01 1.135753496110420091e+00 4.266664517433785275e-01 
1.007301093322247709e+01 9.247090858933566778e+03 1.318627394839952000e+16 2.125778369560306669e+34 2.140246172659423726e-02 3.356751653710014859e-08 2.809251758433985015e+04 1.264597644353840442e+05 2.033743598969535640e+02 1.242052768941239241e-02 3.840569970149619650e+01 3.206262487742308487e+00 7.010457633014605117e-01 1.135573604757289967e+00 4.257788822764843051e-01 
9.945660397595531776e+00 9.204610725069620457e+03 1.294563326954928400e+16 2.086984336314984205e+34 2.118865323472575793e-02 3.329356464934586680e-08 2.793202857391740690e+04 1.247111458503753529e+05 2.021112915229624889e+02 1.230932990145733492e-02 3.863969904078055606e+01 3.160925130770188662e+00 7.049202397773545181e-01 1.135409483625226867e+00 4.248644877475458714e-01 
9.819872872959935606e+00 9.162325740339661934e+03 1.270938412211599800e+16 2.048898268225848293e+34 2.097408617516727941e-02 3.302365248043645243e-08 2.777296118810593543e+04 1.229956602625929663e+05 2.008990141078483305e+02 1.219912639593816357e-02 3.887549094910389869e+01 3.115309289430834738e+00 7.088718270828543444e-01 1.135261681697898650e+00 4.239232058964231276e-01 
