# Sigma0 	Teff 	Mdot 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.5, r = 1.000000e+10 cm, r = 16832.386518751366 rg, structure = BellLin, mu = 0.62
9.844546875198215474e+00 7.482022195949080924e+03 5.651679993236891000e+15 9.111155378929425503e+33 1.424815273358174920e-02 3.850467793291447073e-08 2.540925369112646513e+04 1.312042490971349471e+05 3.058925585643759177e+02 8.012158048395272292e-03 5.646094571159493114e+01 1.577911580640699807e+00 8.972091179943859629e-01 1.165929594805801939e+00 3.917630637766190138e-01 
9.737211481451245376e+00 7.447650596350286833e+03 5.548540613944540000e+15 8.944882887998681713e+33 1.401164194720585891e-02 3.838473475535837667e-08 2.528479795710422331e+04 1.301549012925692805e+05 3.044123682349132309e+02 7.919671974008231363e-03 5.697710988479376226e+01 1.533613319877836556e+00 9.052260266120406573e-01 1.168793320867489882e+00 3.915123978632411572e-01 
9.632619496531075853e+00 7.413436896157292722e+03 5.447283459331120000e+15 8.781644758802557335e+33 1.377560871449970588e-02 3.827619492264592448e-08 2.516132456457115768e+04 1.291530756822386029e+05 3.054174827213125241e+02 7.826345510670936270e-03 5.751237938074739020e+01 1.489791902724944883e+00 9.134291217896083337e-01 1.171871833069190627e+00 3.914005199344943731e-01 
9.530798421927562103e+00 7.379380369997345952e+03 5.347874180055362000e+15 8.621385616269245083e+33 1.354015461389613227e-02 3.817928857781257079e-08 2.503877561876604159e+04 1.281986392660930578e+05 3.095041683201176852e+02 7.732122182242728847e-03 5.806798117157362071e+01 1.446479476409342269e+00 9.218236231877763309e-01 1.175175618300544178e+00 3.914393856996667420e-01 
9.431818440662329550e+00 7.345480295829946044e+03 5.250279053628411000e+15 8.464051095884815211e+33 1.330534974241995294e-02 3.809434871049984738e-08 2.491708054437897954e+04 1.272917345786256046e+05 3.040546739631334390e+02 7.636919099039947943e-03 5.864541916104453634e+01 1.403700910716869643e+00 9.304190389837898589e-01 1.178720268297831497e+00 3.916453471384664931e-01 
9.335708621119001904e+00 7.311735954931599736e+03 5.154464972974364000e+15 8.309587825251488950e+33 1.307130304608519582e-02 3.802160103559572892e-08 2.479617862107994006e+04 1.264321875295970822e+05 3.030417137843766113e+02 7.540690965796448958e-03 5.924603201397766838e+01 1.361487428172534209e+00 9.392214636990093846e-01 1.182517360359402359e+00 3.920313582407211617e-01 
9.242535437363361694e+00 7.278146631880529640e+03 5.060399435199240000e+15 8.157943405981944762e+33 1.283809711802730291e-02 3.796137186316503456e-08 2.467599081559325714e+04 1.256200593456586066e+05 3.058184090995586075e+02 7.443362597027450289e-03 5.987147703777518615e+01 1.319864333122652722e+00 9.482406591162647613e-01 1.186582787909412184e+00 3.926152617786911603e-01 
9.152360705916528616e+00 7.244711614541526615e+03 4.968050530565133000e+15 8.009066395924377010e+33 1.260582468661618390e-02 3.791396732271528197e-08 2.455643911910454699e+04 1.248553389101938810e+05 3.048988631155885400e+02 7.344871732244933303e-03 6.052344077701547320e+01 1.278857558465019695e+00 9.574864524447692649e-01 1.190932570411082470e+00 3.934149511624737139e-01 
9.065233246529237121e+00 7.211430194050876707e+03 4.877386931665568000e+15 7.862906291711936020e+33 1.237459072373818698e-02 3.787966364443360573e-08 2.443744419870638376e+04 1.241378995208443521e+05 3.023502159987650089e+02 7.245168828229451782e-03 6.120363905654232894e+01 1.238494069728035996e+00 9.669678375622668964e-01 1.195581612940352700e+00 3.944482086394848208e-01 
8.981236465169873284e+00 7.178301664801280822e+03 4.788377882798205000e+15 7.719413511630309907e+33 1.214448072186143611e-02 3.785882548294708671e-08 2.431891006385477158e+04 1.234678082085762435e+05 3.055328460024941251e+02 7.144181150861537988e-03 6.191410797820552148e+01 1.198796219018374298e+00 9.766974392184705200e-01 1.200549159548932154e+00 3.957376976321020368e-01 
