# r 	r/rg 	Sigma0 	Mdot 	Teff 	F 	z0r 	rho_c 	T_c 	P_c 	tau 	PradPgas_c 	varkappa_c 	Pi1 	Pi2 	Pi3 	Pi4
# All values are in CGS units.
# M = 2.011658e+00 Msun, alpha = 0.01, structure = BellLin, mu = 0.62
3.001835813575592041e+10 5.052806067993483157e+04 6.042266324874753082e+03 2.796204184023742976e+18 1.549515844076179928e+04 7.854812829820780790e+36 1.377583060896730716e-01 1.415298809047595041e-06 1.827801744108695129e+05 3.469123206689835340e+07 4.691891769561965339e+04 8.113839183662273358e-02 1.520334921826793995e+01 6.368856967809358061e+00 5.161988090744952240e-01 1.154172263293058887e+00 4.448136922058187892e-01 
3.107866187782014084e+10 5.231280492130517086e+04 5.912722599531306514e+03 2.796204184023742976e+18 1.509746371130960324e+04 7.993400110313564511e+36 1.380760016996208650e-01 1.334870986836121593e-06 1.776603301123942947e+05 3.180330499574251845e+07 4.647417670916520001e+04 7.899859640836243146e-02 1.539062001031711091e+01 6.370682604906252600e+00 5.161045650591934431e-01 1.154022519096477239e+00 4.449067706264714928e-01 
3.217641750250735474e+10 5.416058961909202480e+04 5.785749185174666309e+03 2.796204184023742976e+18 1.470996759408237449e+04 8.134413730143376383e+36 1.383959590349675695e-01 1.258944284640795722e-06 1.726816650063071284e+05 2.915380426268819720e+07 4.603124424651884328e+04 7.691648809009753174e-02 1.557990293306421492e+01 6.372415660765795131e+00 5.160146107357287404e-01 1.153876530006161749e+00 4.449975098977732024e-01 
3.331294787934670258e+10 5.607364147841822705e+04 5.661304732882234930e+03 2.796204184023742976e+18 1.433240891632626517e+04 8.277896168840496351e+36 1.387181513236364072e-01 1.187272391749996384e-06 1.678404020869510714e+05 2.672325623323631659e+07 4.559020742712017091e+04 7.489044988566588568e-02 1.577122309031423519e+01 6.374058180955212372e+00 5.159288456229553788e-01 1.153734203608512532e+00 4.450859659442465976e-01 
3.448962260405752563e+10 5.805426585573602642e+04 5.539348092046682723e+03 2.796204184023742976e+18 1.396453317799685101e+04 8.423890649652490733e+36 1.390425515653293531e-01 1.119622026586150512e-06 1.631328594030188106e+05 2.449375548154814169e+07 4.515114927689395699e+04 7.291891311162382316e-02 1.596460588187544971e+01 6.375612089024359719e+00 5.158471748692726733e-01 1.153595449620218316e+00 4.451721934663163127e-01 
3.570785964900469971e+10 6.010484953693725402e+04 5.419838336048541350e+03 2.796204184023742976e+18 1.360609238194717182e+04 8.572441152564967828e+36 1.393691343269514993e-01 1.055772283573921633e-06 1.585554479743496340e+05 2.244884085622464120e+07 4.471414881769492058e+04 7.100035581428579268e-02 1.616007700600195207e+01 6.377079353422606900e+00 5.157695024828261587e-01 1.153460179875565483e+00 4.452562459775324943e-01 
3.696912707195031738e+10 6.222786361359026341e+04 5.302734786026948314e+03 2.796204184023742976e+18 1.325684486840852151e+04 8.723592427550234935e+36 1.396978747243207697e-01 9.955140098473960425e-07 1.541046697386709275e+05 2.057338109333037585e+07 4.427928118303739757e+04 6.913330124524473541e-02 1.635766246181873029e+01 6.378461895341879462e+00 5.156957350271725860e-01 1.153328308267571156e+00 4.453381758144069336e-01 
3.827494478516314697e+10 6.442586646077330079e+04 5.187997033096817177e+03 2.796204184023742976e+18 1.291655515365613974e+04 8.877390008048062044e+36 1.400287476578089274e-01 9.386492106681465741e-07 1.497771155281800020e+05 1.885346926695676148e+07 4.384661767470528866e+04 6.731631639232620035e-02 1.655738855183485825e+01 6.379761520855845802e+00 5.156257843295229959e-01 1.153199750693312708e+00 4.454180341490016071e-01 
3.962688638701478577e+10 6.670150682008796139e+04 5.075584959257046648e+03 2.796204184023742976e+18 1.258499377275608458e+04 9.033880224682298215e+36 1.403617295753787075e-01 8.849904824488562984e-07 1.455694630761132867e+05 1.727632541774434596e+07 4.341622593406539818e+04 6.554801056344890242e-02 1.675928188460187584e+01 6.380980083759932420e+00 5.155595608873085878e-01 1.153074425042574402e+00 4.454958710257731491e-01 
4.102658105827190399e+10 6.905752699157160532e+04 4.965458756597650790e+03 2.796204184023742976e+18 1.226193712629043330e+04 9.193110219217719466e+36 1.406967973775639646e-01 8.343604723061446862e-07 1.414784750544976559e+05 1.583020674680922739e+07 4.298817002628467162e+04 6.382703402209777277e-02 1.696336937736164074e+01 6.382119386974690833e+00 5.154969778218141396e-01 1.152952251138785522e+00 4.455717353709127138e-01 
4.247571552536894226e+10 7.149676613835382159e+04 4.857578945151754851e+03 2.796204184023742976e+18 1.194716733096169264e+04 9.355127958761214265e+36 1.410339277415545989e-01 7.865913630854939195e-07 1.375009971428496065e+05 1.450432480592344515e+07 4.256251054282482801e+04 6.215207667176630979e-02 1.716967825878337806e+01 6.383181123165615922e+00 5.154379532451779378e-01 1.152833150687059272e+00 4.456456750058462868e-01 
4.397603609302712250e+10 7.402216370803931204e+04 4.751906389600487273e+03 2.796204184023742976e+18 1.164047207397910279e+04 9.519982250211585082e+36 1.413730988599862237e-01 7.415243828282812782e-07 1.336339561278547335e+05 1.328876915571986325e+07 4.213930475229735021e+04 6.052186678720859747e-02 1.737823607183472419e+01 6.384167034264917717e+00 5.153824038105951910e-01 1.152717047264505856e+00 4.457177366836026500e-01 
4.552935074866938019e+10 7.663676297494048777e+04 4.648402314467812175e+03 2.796204184023742976e+18 1.134164447113220194e+04 9.687722754962351917e+36 1.417142893272596571e-01 6.990093376827708001e-07 1.298743580349338445e+05 1.217443700198440813e+07 4.171860674445657060e+04 5.893516979130822980e-02 1.758907067664889112e+01 6.385078811783800212e+00 5.153302487084308048e-01 1.152603866262066346e+00 4.457879660979567893e-01 
4.713753134116728973e+10 7.934371470742842939e+04 4.547021321248451386e+03 2.796204184023742976e+18 1.105048292845917604e+04 9.858400003861973195e+36 1.419648846763670591e-01 6.589042342816334360e-07 1.262192955738865130e+05 1.115297030967145972e+07 4.130046683045657846e+04 5.739079390169665035e-02 1.780220881852565284e+01 6.377595582719825629e+00 5.156166446436213358e-01 1.152491853595754234e+00 4.458555547247924911e-01 
